"Tahun","Total","MIGAS","NON MIGAS","Agriculture","Industry","Mining","Others"
"Januari","14,472.29","2,501.65","11,970.64","221.27","9,703.50","2,045.26","0.60"
"Februari","14,634.09","2,729.14","11,904.95","238.47","9,876.12","1,789.73","0.63"
"Maret","15,192.63","2,641.29","12,551.35","244.14","10,261.04","2,045.46","0.71"
"April","14,292.47","2,651.38","11,641.10","253.56","9,529.86","1,857.08","0.60"
"Mei","14,823.60","2,375.69","12,447.91","291.68","10,274.84","1,880.57","0.83"
"Juni","15,409.45","2,785.96","12,623.49","282.64","10,600.85","1,739.23","0.77"
"Juli","14,124.13","2,496.32","11,627.81","284.62","9,593.92","1,749.09","0.18"
"Agustus","14,481.64","2,598.17","11,883.47","303.26","9,666.75","1,913.21","0.24"
"September","15,275.85","2,622.61","12,653.23","324.59","10,140.96","2,187.06","0.62"
"Oktober","15,292.76","2,413.21","12,879.55","313.91","10,814.01","1,751.08","0.55"
"November","13,544.73","2,035.38","11,509.35","306.03","9,295.03","1,908.04","0.25"
"Desember","14,436.34","2,167.98","12,268.36","309.09","9,996.91","1,961.87","0.50"
