Bulan,Tahun,Total,MIGAS,NON MIGAS,Agriculture,Industry,Mining,Others
Januari,2012,"15,568.06","3,142.63","12,425.43",221.47,"9,549.59","2,653.79",0.57
Februari,2012,"15,695.44","3,355.48","12,339.96",250.95,"9,607.61","2,480.69",0.72
Maret,2012,"17,251.52","3,486.10","13,765.42",248.48,"10,491.95","3,024.31",0.69
April,2012,"16,173.19","3,560.73","12,612.46",221.99,"9,431.60","2,958.06",0.8
Mei,2012,"16,829.55","3,724.89","13,104.66",286.61,"9,804.05","3,013.45",0.55
Juni,2012,"15,441.46","2,899.67","12,541.79",282.11,"9,868.83","2,390.10",0.74
Juli,2012,"16,085.08","2,919.69","13,165.39",372.26,"10,473.95","2,318.41",0.77
Agustus,2012,"14,047.01","2,783.05","11,263.96",286.69,"8,830.38","2,146.38",0.51
September,2012,"15,898.12","2,770.49","13,127.62",431.36,"10,425.31","2,270.29",0.66
Oktober,2012,"15,319.99","2,650.57","12,669.42",385.59,"9,758.87","2,524.57",0.39
November,2012,"16,316.91","2,717.05","13,599.86",336.97,"10,516.17","2,746.41",0.32
Desember,2012,"15,393.95","2,966.91","12,427.03",273.21,"9,356.88","2,796.45",0.5
Januari,2013,"15,375.49","2,653.65","12,721.83",280.27,"9,874.16","2,566.84",0.56
Februari,2013,"15,015.63","2,567.55","12,448.08",248.52,"9,675.26","2,523.71",0.59
Maret,2013,"15,024.58","2,928.28","12,096.30",257.0,"9,154.31","2,684.42",0.58
April,2013,"14,760.89","2,451.96","12,308.93",275.69,"9,315.23","2,717.38",0.63
Mei,2013,"16,133.36","2,926.25","13,207.11",294.52,"10,068.90","2,843.05",0.64
Juni,2013,"14,758.82","2,800.37","11,958.45",252.87,"9,449.87","2,254.58",1.13
Juli,2013,"15,087.86","2,282.58","12,805.28",349.45,"9,922.89","2,531.93",1.02
Agustus,2013,"13,083.71","2,720.52","10,363.19",273.35,"7,795.08","2,294.43",0.33
September,2013,"14,706.78","2,414.68","12,292.09",382.37,"9,605.38","2,304.06",0.29
Oktober,2013,"15,698.33","2,715.23","12,983.10",349.76,"10,136.57","2,496.32",0.45
November,2013,"15,938.56","2,766.84","13,171.72",331.73,"9,994.50","2,845.03",0.47
